,name,lat,temp,humidity,cloudiness,wind_speed
261,Nioki,-2.72,71.31,100,92,2.15
262,Tura,25.52,65.6,85,0,3.38
263,Gangakher,18.95,75.2,73,0,3.36
264,Hervey Bay,-25.3,80.6,54,40,17.22
265,Mahibadhoo,3.78,81.48,100,48,9.53
266,Aswan,24.09,51.8,53,0,4.7
267,Koboko,3.41,65.06,98,92,3.49
268,Vardo,39.62,28.24,79,1,3.83
269,Kefamenanu,-9.45,80.04,94,12,1.36
270,Davidson,35.5,37.65,62,90,11.41
271,Encruzilhada,-15.53,65.42,98,92,4.27
272,Nieuwpoort,51.13,50.0,71,40,29.97
273,Sao Joao de Pirabas,-0.77,80.58,99,48,8.97
274,Souillac,45.6,54.39,82,90,18.34
275,Esperance,10.24,75.2,83,20,5.17
276,Clyde River,70.47,-18.41,75,1,3.36
277,Yerbogachen,61.28,-13.74,62,76,3.04
278,Tomohon,1.33,87.8,70,40,8.05
279,Owando,-0.49,69.78,94,92,2.71
280,Emporia,38.4,24.98,80,1,6.93
281,Coaticook,45.13,8.1,84,90,6.93
282,Vestmannaeyjar,63.44,34.41,100,80,6.51
283,Muros,42.77,50.0,100,90,3.36
284,Pospelikha,51.99,-11.54,56,0,8.41
285,Independence,39.09,25.25,68,1,4.7
286,Bangolo,7.01,71.81,74,64,0.36
287,Avera,33.19,42.51,100,90,11.41
288,Amahai,-3.31,86.34,99,12,8.63
289,Port Augusta,-32.49,75.2,64,8,18.34
290,Kavieng,-2.57,84.09,100,44,6.62
291,Novokruchininskiy,51.78,-16.61,68,12,2.24
292,Luderitz,-26.65,57.14,82,0,20.04
293,Yar-Sale,66.83,14.16,92,68,3.38
294,Coquimbo,-29.95,60.8,82,0,6.93
295,Mercedes,-33.25,67.4,48,36,9.31
296,Soria,41.76,29.06,89,0,3.6
297,Yabrud,33.97,44.6,93,0,6.93
298,Baghdad,33.3,53.6,87,75,5.82
299,Manturovo,58.33,17.36,88,88,4.16
300,Constitucion,23.99,51.8,40,5,8.05
301,Carnarvon,-30.97,47.28,95,0,12.77
302,Adrar,27.87,50.84,64,0,10.2
303,Ordu,40.98,37.4,74,0,2.26
304,Paita,-5.09,67.44,88,0,6.17
305,Ternate,14.29,87.8,55,75,5.82
306,Villa de Cura,10.04,61.91,98,0,2.71
307,Qeshm,26.96,58.53,71,0,4.7
308,Port Antonio,18.18,80.6,61,20,3.36
309,Coffs Harbour,-30.3,79.95,61,0,18.34
310,Sibolga,1.74,76.62,93,36,1.92
311,Villarrica,-39.28,59.0,87,20,2.24
312,Torrington,42.06,28.15,63,1,5.82
313,Chuy,-33.69,61.64,68,0,16.24
314,Yatou,3.63,80.13,100,92,6.96
315,Lasa,34.92,57.45,63,75,6.93
316,Chokurdakh,70.62,-31.61,0,36,4.38
